flight_date,departure_scheduled,departure_estimated,airline_name,flight_number,flight_iata,flight_icao,flight_status,departure_airport,departure_iata,departure_icao,departure_terminal,arrival_airport,arrival_iata,arrival_icao,arrival_scheduled,arrival_estimated
8/22/2021,2021-08-22T07:45:00+00:00,2021-08-22T07:45:00+00:00,Garuda Indonesia,172,GA172,GIA172,landed,Soekarno-Hatta International,CGK,WIII,3,Sultan Syarif Kasim Ii,PKU,WIBB,2021-08-22T09:40:00+00:00,2021-08-22T09:40:00+00:00
8/22/2021,2021-08-22T19:00:00+00:00,2021-08-22T19:00:00+00:00,Air New Zealand,567,NZ567,ANZ567,cancelled,Auckland International,AKL,NZAA,D,Christchurch International,CHC,NZCH,2021-08-22T20:25:00+00:00,2021-08-22T20:25:00+00:00
8/22/2021,2021-08-22T14:50:00+00:00,2021-08-22T14:50:00+00:00,Etihad Airways,6346,EY6346,ETD6346,scheduled,Maroochydore,MCY,YBSU,NA,Tullamarine,MEL,YMML,2021-08-22T17:20:00+00:00,2021-08-22T17:20:00+00:00
8/22/2021,2021-08-22T12:15:00+00:00,2021-08-22T12:15:00+00:00,Shenzhen Airlines,2023,ZH2023,CSZ2023,scheduled,Kunming,KMG,ZPPP,NA,Mangshi,LUM,ZPLX,2021-08-22T13:20:00+00:00,2021-08-22T13:20:00+00:00
8/22/2021,2021-08-22T12:15:00+00:00,2021-08-22T12:15:00+00:00,Xiamen Airlines,8428,MF8428,CXA8428,active,Kunming,KMG,ZPPP,NA,Fuzhou,FOC,ZSFZ,2021-08-22T15:10:00+00:00,2021-08-22T15:10:00+00:00
8/22/2021,2021-08-22T10:35:00+00:00,2021-08-22T10:35:00+00:00,Ryanair,4896,FR4896,RYR4896,scheduled,Lanzarote,ACE,GCRR,1,Guglielmo Marconi,BLQ,LIPE,2021-08-22T15:25:00+00:00,2021-08-22T15:25:00+00:00
8/22/2021,2021-08-22T09:20:00+00:00,2021-08-22T09:20:00+00:00,Finnair,88,AY88,FIN88,active,Shanghai Pudong International,PVG,ZSPD,2,Helsinki-vantaa,HEL,EFHK,2021-08-22T14:20:00+00:00,2021-08-22T14:20:00+00:00
8/22/2021,2021-08-22T10:20:00+00:00,2021-08-22T10:20:00+00:00,Corendon Airlines Europe,7220,CXI7220,CXI7220,scheduled,Ioannis Kapodistrias,CFU,LGKR,NA,Euroairport Swiss,BSL,LFSB,2021-08-22T11:50:00+00:00,2021-08-22T11:50:00+00:00
8/22/2021,2021-08-22T10:15:00+00:00,2021-08-22T10:15:00+00:00,Sundair,4181,SR4181,SDR4181,scheduled,Ioannis Kapodistrias,CFU,LGKR,NA,Berlin Brandenburg Airport,BER,EDDB,2021-08-22T11:55:00+00:00,2021-08-22T11:55:00+00:00
8/22/2021,2021-08-22T15:15:00+00:00,2021-08-22T15:15:00+00:00,ANA,697,NH697,ANA697,scheduled,Haneda Airport,HND,RJTT,2,Ube,UBJ,RJDC,2021-08-22T16:50:00+00:00,2021-08-22T16:50:00+00:00
8/22/2021,2021-08-22T11:05:00+00:00,2021-08-22T11:05:00+00:00,Iberia,7541,IB7541,IBE7541,scheduled,Newcastle Airport,NCL,EGNT,NA,Heathrow,LHR,EGLL,2021-08-22T12:25:00+00:00,2021-08-22T12:25:00+00:00
8/22/2021,2021-08-22T13:15:00+00:00,2021-08-22T13:15:00+00:00,Aircalin,8708,SB8708,ACI8708,scheduled,Wallis Island,WLS,NLWW,NA,Futuna Island,FUT,NLWF,2021-08-22T14:15:00+00:00,2021-08-22T14:15:00+00:00
8/22/2021,2021-08-22T10:15:00+00:00,2021-08-22T10:15:00+00:00,Aeroflot,3647,SU3647,AFL3647,scheduled,Son Sant Joan Airport,PMI,LEPA,NA,El Prat De Llobregat,BCN,LEBL,2021-08-22T11:05:00+00:00,2021-08-22T11:05:00+00:00
8/22/2021,2021-08-22T15:30:00+00:00,2021-08-22T15:30:00+00:00,IndiGo,8237,6E8237,IGO8237,scheduled,Cochin International,COK,VOCI,3,Malé International Airport,MLE,VRMM,2021-08-22T16:30:00+00:00,2021-08-22T16:30:00+00:00
8/22/2021,2021-08-22T13:15:00+00:00,2021-08-22T13:15:00+00:00,Citilink,440,QG440,CTV440,scheduled,Juanda,SUB,WARR,1,Sultan Aji Muhamad Sulaiman Airport,BPN,WALL,2021-08-22T16:05:00+00:00,2021-08-22T16:05:00+00:00
8/22/2021,2021-08-22T15:20:00+00:00,2021-08-22T15:20:00+00:00,Wings Air (Indonesia),1921,IW1921,WON1921,scheduled,NA,TMC,WATK,NA,Ende,ENE,WATE,2021-08-22T16:05:00+00:00,2021-08-22T16:05:00+00:00
8/22/2021,2021-08-22T14:40:00+00:00,2021-08-22T14:40:00+00:00,Red Wings,1222,WZ1222,RWZ1222,scheduled,Roschino,TJM,USTR,A,Tomsk,TOF,UNTT,2021-08-22T18:45:00+00:00,2021-08-22T18:45:00+00:00
8/22/2021,2021-08-22T13:30:00+00:00,2021-08-22T13:30:00+00:00,Ryanair,8836,FR8836,RYR8836,scheduled,Pleso,ZAG,LDZA,NA,Ciampino,CIA,LIRA,2021-08-22T14:45:00+00:00,2021-08-22T14:45:00+00:00
8/22/2021,2021-08-22T13:20:00+00:00,2021-08-22T13:20:00+00:00,British Airways,849,BA849,BAW849,scheduled,Pleso,ZAG,LDZA,NA,Heathrow,LHR,EGLL,2021-08-22T14:55:00+00:00,2021-08-22T14:55:00+00:00
8/22/2021,2021-08-22T14:00:00+00:00,2021-08-22T14:00:00+00:00,SAS,9330,SK9330,SAS9330,scheduled,Pleso,ZAG,LDZA,NA,Alexander The Great Airport,SKP,LWSK,2021-08-22T15:15:00+00:00,2021-08-22T15:15:00+00:00
8/22/2021,2021-08-22T13:10:00+00:00,2021-08-22T13:10:00+00:00,Jet2,962,LS962,EXS962,scheduled,Dubrovnik,DBV,LDDU,NA,Manchester Airport,MAN,EGCC,2021-08-22T15:25:00+00:00,2021-08-22T15:25:00+00:00
8/22/2021,2021-08-22T13:15:00+00:00,2021-08-22T13:15:00+00:00,Alitalia,7022,AZ7022,AZA7022,scheduled,Dubrovnik,DBV,LDDU,NA,Pleso,ZAG,LDZA,2021-08-22T14:20:00+00:00,2021-08-22T14:20:00+00:00
8/22/2021,2021-08-22T13:15:00+00:00,2021-08-22T13:15:00+00:00,LOT - Polish Airlines,4286,LO4286,LOT4286,scheduled,Dubrovnik,DBV,LDDU,NA,Pleso,ZAG,LDZA,2021-08-22T14:20:00+00:00,2021-08-22T14:20:00+00:00
8/22/2021,2021-08-22T13:15:00+00:00,2021-08-22T13:15:00+00:00,United Airlines,7258,UA7258,UAL7258,scheduled,Dubrovnik,DBV,LDDU,NA,Pleso,ZAG,LDZA,2021-08-22T14:20:00+00:00,2021-08-22T14:20:00+00:00
8/22/2021,2021-08-22T13:25:00+00:00,2021-08-22T13:25:00+00:00,Delta Air Lines,8188,DL8188,DAL8188,scheduled,Dubrovnik,DBV,LDDU,NA,Schiphol,AMS,EHAM,2021-08-22T16:05:00+00:00,2021-08-22T16:05:00+00:00
8/22/2021,2021-08-22T13:25:00+00:00,2021-08-22T13:25:00+00:00,KLM,1804,KL1804,KLM1804,scheduled,Dubrovnik,DBV,LDDU,NA,Schiphol,AMS,EHAM,2021-08-22T16:05:00+00:00,2021-08-22T16:05:00+00:00
8/22/2021,2021-08-22T13:30:00+00:00,2021-08-22T13:30:00+00:00,Air France,3565,AF3565,AFR3565,scheduled,Dubrovnik,DBV,LDDU,NA,John F Kennedy International,JFK,KJFK,2021-08-22T17:30:00+00:00,2021-08-22T17:30:00+00:00
8/22/2021,2021-08-22T13:30:00+00:00,2021-08-22T13:30:00+00:00,KLM,6060,KL6060,KLM6060,scheduled,Dubrovnik,DBV,LDDU,NA,John F Kennedy International,JFK,KJFK,2021-08-22T17:30:00+00:00,2021-08-22T17:30:00+00:00
8/22/2021,2021-08-22T07:25:00+00:00,2021-08-22T07:25:00+00:00,British Airways,6339,BA6339,BAW6339,active,Doha International,DOH,OTHH,NA,Ambouli,JIB,HDAM,2021-08-22T12:10:00+00:00,2021-08-22T12:10:00+00:00
8/22/2021,2021-08-22T11:45:00+00:00,2021-08-22T11:45:00+00:00,Juneyao Airlines,5954,HO5954,DKH5954,active,Yinchuan,INC,ZLIC,T3,Shanghai Hongqiao International,SHA,ZSSS,2021-08-22T14:30:00+00:00,2021-08-22T14:30:00+00:00
8/22/2021,2021-08-22T09:20:00+00:00,2021-08-22T09:20:00+00:00,Cathay Pacific,9081,CX9081,CPA9081,active,Tullamarine,MEL,YMML,1,Brisbane International,BNE,YBBN,2021-08-22T11:30:00+00:00,2021-08-22T11:30:00+00:00
8/22/2021,2021-08-22T09:30:00+00:00,2021-08-22T09:30:00+00:00,Air New Zealand,7224,NZ7224,ANZ7224,landed,Tullamarine,MEL,YMML,1,Darwin,DRW,YPDN,2021-08-22T13:30:00+00:00,2021-08-22T13:30:00+00:00
8/22/2021,2021-08-22T09:30:00+00:00,2021-08-22T09:30:00+00:00,Qantas,836,QF836,QFA836,landed,Tullamarine,MEL,YMML,1,Darwin,DRW,YPDN,2021-08-22T13:30:00+00:00,2021-08-22T13:30:00+00:00
8/22/2021,2021-08-22T12:30:00+00:00,2021-08-22T12:30:00+00:00,Trigana Air,7307,IL7307,TGN7307,scheduled,Sentani,DJJ,WAJJ,NA,Wamena,WMX,WAJM,2021-08-22T13:00:00+00:00,2021-08-22T13:00:00+00:00
8/22/2021,2021-08-22T17:30:00+00:00,2021-08-22T17:30:00+00:00,Air Do,121,HD121,ADO121,scheduled,Kobe,UKB,RJBE,NA,Chitose,CTS,RJCC,2021-08-22T19:25:00+00:00,2021-08-22T19:25:00+00:00
8/22/2021,2021-08-22T18:40:00+00:00,2021-08-22T18:40:00+00:00,Emirates,5120,EK5120,UAE5120,cancelled,Coffs Harbour,CFS,YCFS,NA,Kingsford Smith,SYD,YSSY,2021-08-22T19:55:00+00:00,2021-08-22T19:55:00+00:00
8/22/2021,2021-08-22T09:10:00+00:00,2021-08-22T09:10:00+00:00,Malaysia Airlines,141,MH141,MAS141,active,Kuala Lumpur International Airport (klia),KUL,WMKK,1,Kingsford Smith,SYD,YSSY,2021-08-22T19:35:00+00:00,2021-08-22T19:35:00+00:00
8/22/2021,2021-08-22T07:55:00+00:00,2021-08-22T07:55:00+00:00,Air China LTD,1890,CA1890,CCA1890,cancelled,Zhuhai Airport,ZUH,ZGSD,NA,Beijing Capital International,PEK,ZBAA,2021-08-22T10:55:00+00:00,2021-08-22T10:55:00+00:00
8/22/2021,2021-08-22T07:55:00+00:00,2021-08-22T07:55:00+00:00,China Southern Airlines,9965,CZ9965,CSN9965,scheduled,Zhuhai Airport,ZUH,ZGSD,NA,Yichang,YIH,ZHYC,2021-08-22T09:55:00+00:00,2021-08-22T09:55:00+00:00
8/22/2021,2021-08-22T07:55:00+00:00,2021-08-22T07:55:00+00:00,Donghai Airlines,6309,DZ6309,EPA6309,scheduled,Zhuhai Airport,ZUH,ZGSD,NA,Yichang,YIH,ZHYC,2021-08-22T09:55:00+00:00,2021-08-22T09:55:00+00:00
8/22/2021,2021-08-22T08:05:00+00:00,2021-08-22T08:05:00+00:00,Kunming Airlines,9139,KY9139,KNA9139,landed,Zhuhai Airport,ZUH,ZGSD,NA,Harbin,HRB,ZYHB,2021-08-22T12:35:00+00:00,2021-08-22T12:35:00+00:00
8/22/2021,2021-08-22T08:05:00+00:00,2021-08-22T08:05:00+00:00,Shenzhen Airlines,9639,ZH9639,CSZ9639,landed,Zhuhai Airport,ZUH,ZGSD,NA,Harbin,HRB,ZYHB,2021-08-22T12:35:00+00:00,2021-08-22T12:35:00+00:00
8/22/2021,2021-08-22T16:05:00+00:00,2021-08-22T16:05:00+00:00,Aeroflot,4598,SU4598,AFL4598,scheduled,Nikolayevsk-na-Amure Airport,NLI,NA,NA,Novyy,KHV,UHHH,2021-08-22T17:40:00+00:00,2021-08-22T17:40:00+00:00
8/22/2021,2021-08-22T06:00:00+00:00,2021-08-22T06:00:00+00:00,Blue Panorama Airlines,2682,BV2682,BPA2682,scheduled,Bergamo - Orio al Serio,BGY,LIME,NA,Lampedusa,LMP,LICD,2021-08-22T08:05:00+00:00,2021-08-22T08:05:00+00:00
8/22/2021,2021-08-22T07:45:00+00:00,2021-08-22T07:45:00+00:00,Chengdu Airlines,2720,EU2720,UEA2720,cancelled,Changsha,CSX,ZGHA,1,Lijiang,LJG,ZPLJ,2021-08-22T10:10:00+00:00,2021-08-22T10:10:00+00:00
